%%++%% moot/WASTE output for model=en-wsj (WORD "\t" OFFSET LENGTH "\t" FEATURES)
BIRDS	0 5	alpha,cap,a0,l5,b1,s1,S0,w1
,	2245 1	$,,*,a0,l0,b0,s0,S0,w1
and	2247 3	stop,lo,a0,l3,b1,s0,S0,w1
westwards	2251 9	alpha,lo,a0,lN,b1,s0,S0,w1
to	2261 2	stop,lo,a0,l3,b1,s0,S0,w1
Damara	2264 6	alpha,up,a0,lN,b1,s0,S0,w1
Land	2271 4	alpha,up,a0,l5,b1,s0,S0,w1
:	2276 1	$:,*,a0,l0,b1,s1,S0,w1
stragglers	2278 10	alpha,lo,a0,lN,b1,s0,S0,w1
sometimes	2289 9	alpha,lo,a0,lN,b1,s0,S0,w1
occur	2299 5	alpha,lo,a0,l5,b1,s0,S0,w1
in	2305 2	stop,lo,a0,l3,b1,s0,S0,w1
Madeira	2308 7	alpha,up,a0,lN,b1,s0,S0,w1
,	2315 1	$,,*,a0,l0,b0,s0,S0,w1
and	2317 3	stop,lo,a0,l3,b1,s0,S0,w1
the	2321 3	stop,lo,a0,l3,b1,s0,S0,w1
Azores	2325 6	alpha,up,a0,lN,b1,s0,S0,w1
.	2331 1	$.,*,a0,l0,b0,s0,S1,w1

The	2334 3	stop,up,a0,l3,b1,s1,S0,w1
Golden	2338 6	alpha,up,a0,lN,b1,s0,S0,w1
Oriole	2345 6	alpha,up,a0,lN,b1,s0,S0,w1
is	2352 2	stop,lo,a0,l3,b1,s0,S0,w1
a	2355 1	stop,lo,a0,l1,b1,s0,S0,w1
regular	2357 7	alpha,lo,a0,lN,b1,s0,S0,w1
visitor	2365 7	alpha,lo,a0,lN,b1,s0,S0,w1
to	2373 2	stop,lo,a0,l3,b1,s0,S0,w1
our	2376 3	stop,lo,a0,l3,b1,s0,S0,w1
shores	2380 6	alpha,lo,a0,lN,b1,s0,S0,w1
in	2387 2	stop,lo,a0,l3,b1,s0,S0,w1
spring	2390 6	alpha,lo,a0,lN,b1,s0,S0,w1
,	2396 1	$,,*,a0,l0,b0,s0,S0,w1
the	2398 3	stop,lo,a0,l3,b1,s0,S0,w1
largest	2402 7	alpha,lo,a0,lN,b1,s0,S0,w1
number	2410 6	alpha,lo,a0,lN,b1,s0,S0,w1
having	2417 6	stop,lo,a0,lN,b1,s0,S0,w1
been	2424 4	stop,lo,a0,l5,b1,s0,S0,w1
seen	2429 4	alpha,lo,a0,l5,b1,s0,S0,w1
in	2434 2	stop,lo,a0,l3,b1,s0,S0,w1
the	2437 3	stop,lo,a0,l3,b1,s0,S0,w1
Scilly	2441 6	alpha,up,a0,lN,b1,s0,S0,w1
Islands	2448 7	alpha,up,a0,lN,b1,s0,S0,w1
,	2455 1	$,,*,a0,l0,b0,s0,S0,w1
and	2457 3	stop,lo,a0,l3,b1,s0,S0,w1
Cornwall	2461 8	alpha,up,a0,lN,b1,s0,S0,w1
;	2470 1	stop,up,a0,l5,b1,s0,S0,w1
it	2472 2	stop,lo,a0,l3,b1,s0,S0,w1
has	2475 3	stop,lo,a0,l3,b1,s0,S0,w1
,	2478 1	$,,*,a0,l0,b0,s0,S0,w1
however	2480 7	alpha,lo,a0,lN,b1,s0,S0,w1
,	2487 1	$,,*,a0,l0,b0,s0,S0,w1
been	2489 4	stop,lo,a0,l5,b1,s0,S0,w1
met	2494 3	alpha,lo,a0,l3,b1,s0,S0,w1
with	2498 4	stop,lo,a0,l5,b1,s0,S0,w1
in	2503 2	stop,lo,a0,l3,b1,s0,S0,w1
not	2506 3	stop,lo,a0,l3,b1,s0,S0,w1
a	2510 1	stop,lo,a0,l1,b1,s0,S0,w1
few	2512 3	stop,lo,a0,l3,b1,s0,S0,w1
of	2516 2	stop,lo,a0,l3,b1,s0,S0,w1
the	2519 3	stop,lo,a0,l3,b1,s0,S0,w1
southern	2523 8	alpha,lo,a0,lN,b1,s0,S0,w1
and	2532 3	stop,lo,a0,l3,b1,s0,S0,w1
south-eastern	2536 13	alpha,lo,a0,l5,b1,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0 alpha,lo,a0,lN,b0,s0,S0,w0
counties	2550 8	alpha,lo,a0,lN,b1,s0,S0,w1
,	2558 1	$,,*,a0,l0,b0,s0,S0,w1
and	2560 3	stop,lo,a0,l3,b1,s0,S0,w1
several	2564 7	alpha,lo,a0,lN,b1,s0,S0,w1
instances	2572 9	alpha,lo,a0,lN,b1,s0,S0,w1
of	2582 2	stop,lo,a0,l3,b1,s0,S0,w1
its	2585 3	stop,lo,a0,l3,b1,s0,S0,w1
breeding	2589 8	alpha,lo,a0,lN,b1,s0,S0,w1
with	2598 4	stop,lo,a0,l5,b1,s0,S0,w1
us	2603 2	alpha,lo,a0,l3,b1,s0,S0,w1
have	2606 4	stop,lo,a0,l5,b1,s0,S0,w1
been	2611 4	stop,lo,a0,l5,b1,s0,S0,w1
recorded	2616 8	alpha,lo,a0,lN,b1,s0,S0,w1
.	2624 1	$.,*,a0,l0,b0,s0,S1,w1

In	2626 2	stop,up,a0,l3,b1,s1,S0,w1
1868	2629 4	num,*,a0,l5,b1,s0,S0,w1
,	2633 1	$,,*,a0,l0,b0,s0,S0,w1
I	2635 1	stop,cap,a0,l1,b1,s0,S0,w1
saw	2637 3	alpha,lo,a0,l3,b1,s0,S0,w1
a	2641 1	stop,lo,a0,l1,b1,s0,S0,w1
male	2643 4	alpha,lo,a0,l5,b1,s0,S0,w1
specimen	2648 8	alpha,lo,a0,lN,b1,s0,S0,w1
of	2657 2	stop,lo,a0,l3,b1,s0,S0,w1
this	2660 4	stop,lo,a0,l5,b1,s0,S0,w1
bird	2665 4	alpha,lo,a0,l5,b1,s0,S0,w1
near	2670 4	alpha,lo,a0,l5,b1,s0,S0,w1
Linton	2675 6	alpha,up,a0,lN,b1,s0,S0,w1
,	2681 1	$,,*,a0,l0,b0,s0,S0,w1
in	2683 2	stop,lo,a0,l3,b1,s0,S0,w1
Devonshire	2686 10	alpha,up,a0,lN,b1,s0,S0,w1
,	2696 1	$,,*,a0,l0,b0,s0,S0,w1
and	2698 3	stop,lo,a0,l3,b1,s0,S0,w1
in	2702 2	stop,lo,a0,l3,b1,s0,S0,w1
July	2705 4	alpha,up,a0,l5,b1,s0,S0,w1
,	2709 1	$,,*,a0,l0,b0,s0,S0,w1
1887	2711 4	num,*,a0,l5,b1,s0,S0,w1
,	2715 1	$,,*,a0,l0,b0,s0,S0,w1
I	2717 1	stop,cap,a0,l1,b1,s0,S0,w1
was	2719 3	stop,lo,a0,l3,b1,s0,S0,w1
just	2723 4	stop,lo,a0,l5,b1,s0,S0,w1
too	2728 3	stop,lo,a0,l3,b1,s0,S0,w1
late	2732 4	alpha,lo,a0,l5,b1,s0,S0,w1
to	2737 2	stop,lo,a0,l3,b1,s0,S0,w1
see	2740 3	alpha,lo,a0,l3,b1,s0,S0,w1
the	2744 3	stop,lo,a0,l3,b1,s0,S0,w1
species	2748 7	alpha,lo,a0,lN,b1,s0,S0,w1
in	2756 2	stop,lo,a0,l3,b1,s0,S0,w1
Essex	2759 5	alpha,up,a0,l5,b1,s0,S1,w1

;	2765 1	stop,cap,a0,l5,b1,s1,S0,w1
Mr.	2767 3	alpha,up,a0,l3,b1,s0,S0,w1 $.,*,a0,l0,b0,s0,S0,w0
Fitch	2771 5	alpha,up,a0,l5,b1,s0,S0,w1
,	2776 1	$,,*,a0,l0,b0,s0,S0,w1
of	2778 2	stop,lo,a0,l3,b1,s0,S0,w1
Maldon	2781 6	alpha,up,a0,lN,b1,s0,S0,w1
(	2788 1	$(,*,a0,l0,b1,s0,S0,w1
whom	2789 4	stop,lo,a0,l5,b0,s0,S0,w1
I	2794 1	stop,cap,a0,l1,b1,s0,S0,w1
was	2796 3	stop,lo,a0,l3,b1,s0,S0,w1
visiting	2800 8	alpha,lo,a0,lN,b1,s0,S0,w1
)	2808 1	$),*,a0,l0,b0,s0,S0,w1
informed	2810 8	alpha,lo,a0,lN,b1,s0,S0,w1
me	2819 2	stop,lo,a0,l3,b1,s0,S0,w1
that	2822 4	stop,lo,a0,l5,b1,s0,S0,w1
the	2827 3	stop,lo,a0,l3,b1,s0,S0,w1
bird	2831 4	alpha,lo,a0,l5,b1,s0,S0,w1
had	2836 3	stop,lo,a0,l3,b1,s0,S0,w1
been	2840 4	stop,lo,a0,l5,b1,s0,S0,w1
seen	2845 4	alpha,lo,a0,l5,b1,s0,S0,w1
in	2850 2	stop,lo,a0,l3,b1,s0,S0,w1
one	2853 3	alpha,lo,a0,l3,b1,s0,S0,w1
of	2857 2	stop,lo,a0,l3,b1,s0,S0,w1
his	2860 3	stop,lo,a0,l3,b1,s0,S0,w1
thickets	2864 8	alpha,lo,a0,lN,b1,s0,S0,w1
during	2873 6	stop,lo,a0,lN,b1,s0,S0,w1
the	2880 3	stop,lo,a0,l3,b1,s0,S0,w1
previous	2884 8	alpha,lo,a0,lN,b1,s0,S0,w1
week	2893 4	alpha,lo,a0,l5,b1,s0,S0,w1
.	2897 1	$.,*,a0,l0,b0,s0,S1,w1

We	2899 2	stop,up,a0,l3,b1,s1,S0,w1
visited	2902 7	alpha,lo,a0,lN,b1,s0,S0,w1
the	2910 3	stop,lo,a0,l3,b1,s0,S0,w1
place	2914 5	alpha,lo,a0,l5,b1,s0,S0,w1
iu	2920 2	alpha,lo,a0,l3,b1,s0,S0,w1
the	2923 3	stop,lo,a0,l3,b1,s0,S0,w1
hope	2927 4	alpha,lo,a0,l5,b1,s0,S0,w1
of	2932 2	stop,lo,a0,l3,b1,s0,S0,w1
discovering	2935 11	alpha,lo,a0,lN,b1,s0,S0,w1
a	2947 1	stop,lo,a0,l1,b1,s0,S0,w1
uest	2949 4	alpha,lo,a0,l5,b1,s0,S0,w1
,	2953 1	$,,*,a0,l0,b0,s0,S0,w1
but	2955 3	stop,lo,a0,l3,b1,s0,S0,w1
were	2959 4	stop,lo,a0,l5,b1,s0,S0,w1
unsuccessful	2964 14	alpha,lo,a0,lN,b1,s0,S0,w1
.	2978 1	$.,*,a0,l0,b0,s0,S1,w1

In	2981 2	stop,up,a0,l3,b1,s1,S0,w1
Ireland	2984 7	alpha,up,a0,lN,b1,s0,S0,w1
it	2992 2	stop,lo,a0,l3,b1,s0,S0,w1
has	2995 3	stop,lo,a0,l3,b1,s0,S0,w1
chiefly	2999 7	alpha,lo,a0,lN,b1,s0,S0,w1
occurred	3007 8	alpha,lo,a0,lN,b1,s0,S0,w1
on	3016 2	stop,lo,a0,l3,b1,s0,S0,w1
the	3019 3	stop,lo,a0,l3,b1,s0,S0,w1
east	3023 4	alpha,lo,a0,l5,b1,s0,S0,w1
coast	3028 5	alpha,lo,a0,l5,b1,s0,S0,w1
,	3033 1	$,,*,a0,l0,b0,s0,S0,w1
most	3035 4	stop,lo,a0,l5,b1,s0,S0,w1
of	3040 2	stop,lo,a0,l3,b1,s0,S0,w1
the	3043 3	stop,lo,a0,l3,b1,s0,S0,w1
examples	3047 8	alpha,lo,a0,lN,b1,s0,S0,w1
being	3056 5	stop,lo,a0,l5,b1,s0,S0,w1
females	3062 7	alpha,lo,a0,lN,b1,s0,S0,w1
,	3069 1	$,,*,a0,l0,b0,s0,S0,w1
or	3071 2	stop,lo,a0,l3,b1,s0,S0,w1
immature	3074 8	alpha,lo,a0,lN,b1,s0,S0,w1
males	3083 5	alpha,lo,a0,l5,b1,s0,S0,w1
;	3089 1	stop,up,a0,lN,b1,s0,S0,w1
a	3091 1	stop,lo,a0,l1,b1,s0,S0,w1
specimen	3093 8	alpha,lo,a0,lN,b1,s0,S0,w1
was	3102 3	stop,lo,a0,l3,b1,s0,S0,w1
recorded	3106 8	alpha,lo,a0,lN,b1,s0,S0,w1
as	3115 2	stop,lo,a0,l3,b1,s0,S0,w1
shot	3118 4	alpha,lo,a0,l5,b1,s0,S0,w1
in	3123 2	stop,lo,a0,l3,b1,s0,S0,w1
the	3126 3	stop,lo,a0,l3,b1,s0,S0,w1
Faroe	3130 5	alpha,up,a0,l5,b1,s0,S0,w1
Islands	3136 7	alpha,up,a0,lN,b1,s0,S0,w1
,	3143 1	$,,*,a0,l0,b0,s0,S0,w1
in	3145 2	stop,lo,a0,l3,b1,s0,S0,w1
Maj	3148 3	alpha,up,a0,l3,b1,s0,S0,w1
^	3151 1	$~,*,a0,l0,b0,s0,S0,w1
1893	3153 4	num,*,a0,l5,b1,s0,S0,w1
,	3157 1	$,,*,a0,l0,b0,s0,S0,w1
by	3159 2	stop,lo,a0,l3,b1,s0,S0,w1
Col.	3162 4	alpha,up,a0,l3,b1,s0,S0,w1 $.,*,a0,l0,b0,s0,S0,w0
H.	3167 2	alpha,cap,a0,l1,b1,s0,S0,w1 $.,*,a0,l0,b0,s0,S0,w0
W.	3170 2	alpha,cap,a0,l1,b1,s0,S0,w1 $.,*,a0,l0,b0,s0,S0,w0
Feildeu	3173 7	alpha,up,a0,lN,b1,s0,S0,w1
.	3180 1	$.,*,a0,l0,b0,s0,S1,w1

In	3182 2	stop,up,a0,l3,b1,s1,S0,w1
June	3185 4	alpha,up,a0,l5,b1,s0,S0,w1
,	3189 1	$,,*,a0,l0,b0,s0,S0,w1
1906	3191 4	num,*,a0,l5,b1,s0,S0,w1
,	3195 1	$,,*,a0,l0,b0,s0,S0,w1
one	3197 3	alpha,lo,a0,l3,b1,s0,S0,w1
was	3201 3	stop,lo,a0,l3,b1,s0,S0,w1
killed	3205 6	alpha,lo,a0,lN,b1,s0,S0,w1
by	3212 2	stop,lo,a0,l3,b1,s0,S0,w1
a	3215 1	stop,lo,a0,l1,b1,s0,S0,w1
cat	3217 3	alpha,lo,a0,l3,b1,s0,S0,w1
on	3221 2	stop,lo,a0,l3,b1,s0,S0,w1
the	3224 3	stop,lo,a0,l3,b1,s0,S0,w1
Marine	3228 6	alpha,up,a0,lN,b1,s0,S0,w1
Parade	3235 6	alpha,up,a0,lN,b1,s0,S0,w1
at	3242 2	stop,lo,a0,l3,b1,s0,S0,w1
Brighton	3245 8	alpha,up,a0,lN,b1,s0,S0,w1
.	3253 1	$.,*,a0,l0,b0,s0,S1,w1

Perhaps	3255 7	alpha,up,a0,lN,b1,s1,S0,w1
the	3263 3	stop,lo,a0,l3,b1,s0,S0,w1
nearest	3267 7	alpha,lo,a0,lN,b1,s0,S0,w1
point	3275 5	alpha,lo,a0,l5,b1,s0,S0,w1
to	3281 2	stop,lo,a0,l3,b1,s0,S0,w1
London	3284 6	alpha,up,a0,lN,b1,s0,S0,w1
at	3291 2	stop,lo,a0,l3,b1,s0,S0,w1
which	3294 5	stop,lo,a0,l5,b1,s0,S0,w1
it	3300 2	stop,lo,a0,l3,b1,s0,S0,w1
has	3303 3	stop,lo,a0,l3,b1,s0,S0,w1
been	3307 4	stop,lo,a0,l5,b1,s0,S0,w1
recognized	3312 10	alpha,lo,a0,lN,b1,s0,S0,w1
,	3322 1	$,,*,a0,l0,b0,s0,S0,w1
was	3324 3	stop,lo,a0,l3,b1,s0,S0,w1
noted	3328 5	alpha,lo,a0,l5,b1,s0,S0,w1
in	3334 2	stop,lo,a0,l3,b1,s0,S0,w1
the	3337 3	stop,lo,a0,l3,b1,s0,S0,w1
"	3341 1	$",*,a0,l0,b1,s0,S0,w1
Zoologist	3342 9	alpha,up,a0,lN,b0,s0,S0,w1
"	3351 1	$",*,a0,l0,b0,s0,S0,w1
for	3353 3	stop,lo,a0,l3,b1,s0,S0,w1
1892	3357 4	num,*,a0,l5,b1,s0,S0,w1
,	3361 1	$,,*,a0,l0,b0,s0,S0,w1
an	3363 2	stop,lo,a0,l3,b1,s0,S0,w1
example	3366 7	alpha,lo,a0,lN,b1,s0,S0,w1
having	3374 6	stop,lo,a0,lN,b1,s0,S0,w1
apparently	3381 10	alpha,lo,a0,lN,b1,s0,S0,w1
been	3392 4	stop,lo,a0,l5,b1,s0,S0,w1
seen	3397 4	alpha,lo,a0,l5,b1,s0,S0,w1
in	3402 2	stop,lo,a0,l3,b1,s0,S0,w1
Richmond	3405 8	alpha,up,a0,lN,b1,s0,S0,w1
Park	3414 4	alpha,up,a0,l5,b1,s0,S0,w1
.	3418 1	$.,*,a0,l0,b0,s0,S1,w1

The	3421 3	stop,up,a0,l3,b1,s1,S0,w1
male	3425 4	alpha,lo,a0,l5,b1,s0,S0,w1
of	3430 2	stop,lo,a0,l3,b1,s0,S0,w1
this	3433 4	stop,lo,a0,l5,b1,s0,S0,w1
species	3438 7	alpha,lo,a0,lN,b1,s0,S0,w1
is	3446 2	stop,lo,a0,l3,b1,s0,S0,w1
bright	3449 6	alpha,lo,a0,lN,b1,s0,S0,w1
gamboge-yellow	3456 14	alpha,lo,a0,lN,b1,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0 alpha,lo,a0,lN,b0,s0,S0,w0
,	3470 1	$,,*,a0,l0,b0,s0,S0,w1
the	3472 3	stop,lo,a0,l3,b1,s0,S0,w1
lores	3476 5	alpha,lo,a0,l5,b1,s0,S0,w1
,	3481 1	$,,*,a0,l0,b0,s0,S0,w1
wings	3483 5	alpha,lo,a0,l5,b1,s0,S0,w1
(	3489 1	$(,*,a0,l0,b1,s0,S0,w1
excepting	3490 9	alpha,lo,a0,lN,b0,s0,S0,w1
the	3500 3	stop,lo,a0,l3,b1,s0,S0,w1
terminal	3504 8	alpha,lo,a0,lN,b1,s0,S0,w1
third	3513 5	alpha,lo,a0,l5,b1,s0,S0,w1
of	3519 2	stop,lo,a0,l3,b1,s0,S0,w1
the	3522 3	stop,lo,a0,l3,b1,s0,S0,w1
primary-coverts	3526 15	alpha,lo,a0,lN,b1,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0 alpha,lo,a0,lN,b0,s0,S0,w0
)	3541 1	$),*,a0,l0,b0,s0,S0,w1
and	3543 3	stop,lo,a0,l3,b1,s0,S0,w1
a	3547 1	stop,lo,a0,l1,b1,s0,S0,w1
great	3549 5	alpha,lo,a0,l5,b1,s0,S0,w1
part	3555 4	alpha,lo,a0,l5,b1,s0,S0,w1
of	3560 2	stop,lo,a0,l3,b1,s0,S0,w1
the	3563 3	stop,lo,a0,l3,b1,s0,S0,w1
tail	3567 4	alpha,lo,a0,l5,b1,s0,S0,w1
black	3572 5	alpha,lo,a0,l5,b1,s0,S0,w1
;	3578 1	stop,up,a0,lN,b1,s0,S0,w1
the	3580 3	stop,lo,a0,l3,b1,s0,S0,w1
primaries	3584 9	alpha,lo,a0,lN,b1,s0,S0,w1
,	3593 1	$,,*,a0,l0,b0,s0,S0,w1
excepting	3595 9	alpha,lo,a0,lN,b1,s0,S0,w1
the	3605 3	stop,lo,a0,l3,b1,s0,S0,w1
two	3609 3	alpha,lo,a0,l3,b1,s0,S0,w1
outermost	3613 9	alpha,lo,a0,lN,b1,s0,S0,w1
,	3622 1	$,,*,a0,l0,b0,s0,S0,w1
are	3624 3	stop,lo,a0,l3,b1,s0,S0,w1
edged	3628 5	alpha,lo,a0,l5,b1,s0,S0,w1
externally	3634 10	alpha,lo,a0,lN,b1,s0,S0,w1
,	3644 1	$,,*,a0,l0,b0,s0,S0,w1
and	3646 3	stop,lo,a0,l3,b1,s0,S0,w1
the	3650 3	stop,lo,a0,l3,b1,s0,S0,w1
secondaries	3654 11	alpha,lo,a0,lN,b1,s0,S0,w1
are	3666 3	stop,lo,a0,l3,b1,s0,S0,w1
tipped	3670 6	alpha,lo,a0,lN,b1,s0,S0,w1
with	3677 4	stop,lo,a0,l5,b1,s0,S0,w1
j^ellowish-white	3682 16	rom,*,a0,l1,b1,s0,S0,w1 $~,*,a0,l0,b0,s0,S0,w0 alpha,lo,a0,lN,b0,s0,S0,w0 $-,*,a0,l0,b0,s0,S0,w0 alpha,lo,a0,l5,b0,s0,S0,w0
;	3699 1	stop,lo,a0,l5,b0,s0,S0,w1
the	3701 3	stop,lo,a0,l3,b1,s0,S0,w1
two	3705 3	alpha,lo,a0,l3,b1,s0,S0,w1
central	3709 7	alpha,lo,a0,lN,b1,s0,S0,w1
tail-feathers	3717 13	alpha,lo,a0,l5,b1,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0 alpha,lo,a0,lN,b0,s0,S0,w0
are	3731 3	stop,lo,a0,l3,b1,s0,S0,w1
yellowish	3735 9	alpha,lo,a0,lN,b1,s0,S0,w1
at	3745 2	stop,lo,a0,l3,b1,s0,S0,w1
the	3748 3	stop,lo,a0,l3,b1,s0,S0,w1
base	3752 4	alpha,lo,a0,l5,b1,s0,S0,w1
,	3756 1	$,,*,a0,l0,b0,s0,S0,w1
and	3758 3	stop,lo,a0,l3,b1,s0,S0,w1
yellow	3762 6	alpha,lo,a0,lN,b1,s0,S0,w1
at	3769 2	stop,lo,a0,l3,b1,s0,S0,w1
the	3772 3	stop,lo,a0,l3,b1,s0,S0,w1
tip	3776 3	alpha,lo,a0,l3,b1,s0,S0,w1
,	3779 1	$,,*,a0,l0,b0,s0,S0,w1
and	3781 3	stop,lo,a0,l3,b1,s0,S0,w1
the	3785 3	stop,lo,a0,l3,b1,s0,S0,w1
other	3789 5	stop,lo,a0,l5,b1,s0,S0,w1
feathers	3795 8	alpha,lo,a0,lN,b1,s0,S0,w1
have	3804 4	stop,lo,a0,l5,b1,s0,S0,w1
the	3809 3	stop,lo,a0,l3,b1,s0,S0,w1
terminal	3813 8	alpha,lo,a0,lN,b1,s0,S0,w1
third	3822 5	alpha,lo,a0,l5,b1,s0,S0,w1
of	3828 2	stop,lo,a0,l3,b1,s0,S0,w1
the	3831 3	stop,lo,a0,l3,b1,s0,S0,w1
outer	3835 5	alpha,lo,a0,l5,b1,s0,S0,w1
webs	3841 4	alpha,lo,a0,l5,b1,s0,S0,w1
,	3845 1	$,,*,a0,l0,b0,s0,S0,w1
and	3847 3	stop,lo,a0,l3,b1,s0,S0,w1
borders	3851 7	alpha,lo,a0,lN,b1,s0,S0,w1
of	3859 2	stop,lo,a0,l3,b1,s0,S0,w1
the	3862 3	stop,lo,a0,l3,b1,s0,S0,w1
inner	3866 5	alpha,lo,a0,l5,b1,s0,S0,w1
webs	3872 4	alpha,lo,a0,l5,b1,s0,S0,w1
yellow	3877 6	alpha,lo,a0,lN,b1,s0,S0,w1
;	3884 1	stop,cap,a0,l3,b1,s0,S0,w1
bill	3886 4	alpha,lo,a0,l5,b1,s0,S0,w1
reddish-ochreous	3891 16	alpha,lo,a0,lN,b1,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0 alpha,lo,a0,lN,b0,s0,S0,w0
;	3908 1	stop,lo,a0,l5,b0,s0,S0,w1
feet	3910 4	alpha,lo,a0,l5,b1,s0,S0,w1
leaden-grey	3915 11	alpha,lo,a0,lN,b1,s0,S0,w1 $-,*,a0,l0,b0,s0,S0,w0 alpha,lo,a0,l5,b0,s0,S0,w0
;	3927 1	stop,lo,a0,l5,b0,s0,S0,w1
iris	3929 4	alpha,lo,a0,l5,b1,s0,S0,w1
bright	3934 6	alpha,lo,a0,lN,b1,s0,S0,w1
red	3941 3	alpha,lo,a0,l3,b1,s0,S0,w1
.	3944 1	$.,*,a0,l0,b0,s0,S1,w1

The	3946 3	stop,up,a0,l3,b1,s1,S0,w1
female	3950 6	alpha,lo,a0,lN,b1,s0,S0,w1
is	3957 2	stop,lo,a0,l3,b1,s0,S0,w1
much	3960 4	alpha,lo,a0,l5,b1,s0,S0,w1
duller	3965 6	alpha,lo,a0,lN,b1,s0,S0,w1
than	3972 4	stop,lo,a0,l5,b1,s0,S0,w1
the	3977 3	stop,lo,a0,l3,b1,s0,S0,w1
male	3981 4	alpha,lo,a0,l5,b1,s0,S0,w1
,	3985 1	$,,*,a0,l0,b0,s0,S0,w1
greener	3987 7	alpha,lo,a0,lN,b1,s0,S0,w1
,	3994 1	$,,*,a0,l0,b0,s0,S0,w1
and	3996 3	stop,lo,a0,l3,b1,s0,S0,w1
with	4000 4	stop,lo,a0,l5,b1,s0,S0,w1
the	4005 3	stop,lo,a0,l3,b1,s0,S0,w1
black	4009 5	alpha,lo,a0,l5,b1,s0,S0,w1
colouring	4015 9	alpha,lo,a0,lN,b1,s0,S0,w1
replaced	4025 8	alpha,lo,a0,lN,b1,s0,S0,w1
by	4034 2	stop,lo,a0,l3,b1,s0,S0,w1
deep	4037 4	alpha,lo,a0,l5,b1,s0,S0,w1
brown	4042 5	alpha,lo,a0,l5,b1,s0,S0,w1
;	4048 1	stop,up,a0,lN,b1,s0,S0,w1
the	4050 3	stop,lo,a0,l3,b1,s0,S0,w1
throat	4054 6	alpha,lo,a0,lN,b1,s0,S0,w1
,	4060 1	$,,*,a0,l0,b0,s0,S0,w1
breast	4062 6	alpha,lo,a0,lN,b1,s0,S0,w1
,	4068 1	$,,*,a0,l0,b0,s0,S0,w1
and	4070 3	stop,lo,a0,l3,b1,s0,S0,w1
centre	4074 6	alpha,lo,a0,lN,b1,s0,S0,w1
of	4081 2	stop,lo,a0,l3,b1,s0,S0,w1
belly	4084 5	alpha,lo,a0,l5,b1,s0,S0,w1
whitish	4090 7	alpha,lo,a0,lN,b1,s0,S0,w1
;	4098 1	stop,cap,a0,l3,b1,s0,S0,w1
the	4100 3	stop,lo,a0,l3,b1,s0,S0,w1
throat	4104 6	alpha,lo,a0,lN,b1,s0,S0,w1
,	4110 1	$,,*,a0,l0,b0,s0,S0,w1
breast	4112 6	alpha,lo,a0,lN,b1,s0,S0,w1
,	4118 1	$,,*,a0,l0,b0,s0,S0,w1
and	4120 3	stop,lo,a0,l3,b1,s0,S0,w1
flanks	4124 6	alpha,lo,a0,lN,b1,s0,S0,w1
streaked	4131 8	alpha,lo,a0,lN,b1,s0,S0,w1
with	4140 4	stop,lo,a0,l5,b1,s0,S0,w1
greyish	4145 7	alpha,lo,a0,lN,b1,s0,S0,w1
.	4152 1	$.,*,a0,l0,b0,s0,S1,w1

Young	4154 5	alpha,up,a0,l5,b1,s1,S0,w1
birds	4160 5	alpha,lo,a0,l5,b1,s0,S0,w1
are	4166 3	stop,lo,a0,l3,b1,s0,S0,w1
greener	4170 7	alpha,lo,a0,lN,b1,s0,S0,w1
and	4178 3	stop,lo,a0,l3,b1,s0,S0,w1
browner	4182 7	alpha,lo,a0,lN,b1,s0,S0,w1
than	4190 4	stop,lo,a0,l5,b1,s0,S0,w1
the	4195 3	stop,lo,a0,l3,b1,s0,S0,w1
female	4199 6	alpha,lo,a0,lN,b1,s0,S0,w1
,	4205 1	$,,*,a0,l0,b0,s0,S0,w1
but	4207 3	stop,lo,a0,l3,b1,s0,S0,w1
otherwise	4211 9	alpha,lo,a0,lN,b1,s0,S0,w1
similar	4221 7	alpha,lo,a0,lN,b1,s0,S0,w1
;	4229 1	stop,cap,a0,l3,b1,s0,S0,w1
nestlings	4231 9	alpha,lo,a0,lN,b1,s0,S0,w1
have	4241 4	stop,lo,a0,l5,b1,s0,S0,w1
the	4246 3	stop,lo,a0,l3,b1,s0,S0,w1
upper	4250 5	alpha,lo,a0,l5,b1,s0,S0,w1
parts	4256 5	alpha,lo,a0,l5,b1,s0,S0,w1
olivaceous	4262 10	alpha,lo,a0,lN,b1,s0,S0,w1
,	4272 1	$,,*,a0,l0,b0,s0,S0,w1
spotted	4274 7	alpha,lo,a0,lN,b1,s0,S0,w1
with	4282 4	stop,lo,a0,l5,b1,s0,S0,w1
yellow	4287 6	alpha,lo,a0,lN,b1,s0,S0,w1
.	4293 1	$.,*,a0,l0,b0,s0,S1,w1

The	4296 3	stop,up,a0,l3,b1,s1,S0,w1
Golden	4300 6	alpha,up,a0,lN,b1,s0,S0,w1
Oriole	4307 6	alpha,up,a0,lN,b1,s0,S0,w1
frequents	4314 9	alpha,lo,a0,lN,b1,s0,S0,w1
gardens	4324 7	alpha,lo,a0,lN,b1,s0,S0,w1
